id,createdAt,updatedAt,candidateName,overallScore,dataSources,status,professionalScore,culturalScore,teamScore,punchline,contextID
38,27:17.2,27:52.4,Zephyr Rift Stormwind,80,"{Linkedin,CV}",Completed,79,74,75,"Strong fit with minor industry-specific gap, valuable collaboration and innovation.",10
39,27:48.9,28:30.1,Luna Moonbeam,75,"{Linkedin,CV}",Completed,82,62,60,"Strong foundation, potential for growth in new industry.",10
35,25:30.7,26:11.9,Raven Nightshade ©±ð�©¨ð�©¥ð�©§ð�©¥ð�©¯ ð�©²ð�©¨ð�©µð�©±ð�©¡ð�©«ð�©±ð�©¦ð�©° ,50,"{Linkedin,CV}",Completed,45,38,37.5,"Promising candidate with potential, needs industry-specific experience.",10
36,26:17.4,27:00.1,Phoenix Ashfire,70,"{Linkedin,CV}",Completed,84,74,75,Potential fit with room for growth in industry-specific expertise.,10
37,26:51.1,27:28.1,Echo Whisperwind  ðŸ‡®ðŸ‡±,70,"{Linkedin,CV}",Completed,81,64,65,Skilled product manager with potential to adapt and excel.,10
40,28:14.1,28:44.1,Orion Stargazer,70,"{Linkedin,CV}",Completed,77,65,70,Promising fit with room for industry-specific growth.,10
42,29:15.6,29:15.6,,,"{Linkedin,CV}",Pending,0,0,0,,10
41,28:49.3,29:26.9,Sage Evergreen,75,"{Linkedin,CV}",Completed,79,69,69,Solid foundation with potential for growth in new industry.,10
43,29:38.9,29:38.9,,,"{Linkedin,CV}",Pending,0,0,0,,10
44,32:02.1,32:44.8,Aurora Bloom Borealis,62,"{Linkedin,CV}",Completed,66,52,50,Strong potential but limited industry fit.,10
45,32:33.4,33:09.0,Onyx Shadowmancer,75,"{Linkedin,CV}",Completed,82,68,70,Experienced candidate with room for industry-specific adaptation.,10
46,32:59.1,33:48.4,Crimson Frostbite,75,"{Linkedin,CV}",Completed,85,70.6,66.5,Strong fit with room for growth in startup environment experience.,10
47,34:24.2,35:02.5,Jasper Thunderbolt,55,"{Linkedin,CV}",Completed,56,63,57.5,Needs industry-specific experience for better alignment with role.,10
49,35:15.2,35:15.2,,,{},Pending,0,0,0,,10
48,34:57.4,35:34.5,Willow Raindrops,65,"{Linkedin,CV}",Completed,66,63,62.5,"Strong communication and creativity, but lacks technical experience for PO role.",10
51,36:04.2,36:04.2,,,"{Linkedin,CV}",Pending,0,0,0,,10
50,35:39.8,36:10.3,Terra S.,70,"{Linkedin,CV}",Completed,77,69,70,"Analytical and adaptable candidate, lacks direct industry experience.",10
52,37:17.4,37:52.3,Ember Flameheart,75,"{Linkedin,CV}",Completed,80,78,77.5,Good fit with room for growth in specific industry knowledge.,10
53,38:22.7,39:02.3,Iris Rainbowsky,70,"{Linkedin,CV}",Completed,74,66,67.5,Versatile candidate with room for growth in tech startup environment.,10
54,38:42.9,39:26.6,Aspen Leafdancer,60,"{Linkedin,CV}",Completed,71,47,42.5,"Solid skills, but mismatch in industry experience and cultural fit.",10
